avg_reliability,min_reliability,on_time_rate,farm_count,quantity_buffer,avg_distance_km,max_distance_km,harvest_buffer_days,price_headroom,prior_buyer_share,fulfilled
0.8775,0.6341,0.8254,5,0.3907,119.7,195.4,0.6,0.0117,0.5618,0
0.7268,0.7268,0.684,1,0.0323,113.4,113.4,3.82,0.1662,0.4182,0
0.8111,0.6273,0.7964,5,0.0809,132.3,143.2,1.32,0.187,0.2483,0
0.9054,0.7883,0.8942,5,0.2825,17.8,51.7,5.12,-0.1497,0.7028,1
0.943,0.9392,1.0,2,0.1179,263.0,320.3,4.61,0.27,0.3391,1
0.9183,0.8662,0.921,5,0.2068,204.6,253.8,1.63,0.1813,0.4039,1
0.8377,0.7481,0.7693,5,0.1277,75.9,230.5,3.74,-0.134,0.1708,0
0.7952,0.5989,0.7658,5,0.0397,130.0,201.0,3.02,0.171,0.1064,0
0.7966,0.7381,0.7904,3,0.3985,290.0,467.2,1.16,-0.0112,0.436,0
0.8899,0.8665,0.9187,2,0.1588,138.5,275.3,2.68,0.0453,0.1369,1
0.6643,0.6643,0.6065,1,0.1164,90.8,90.8,0.47,0.016,0.3485,0
0.8132,0.6827,0.8652,3,0.451,113.1,222.5,6.45,0.0773,0.3136,1
0.9074,0.8351,0.9207,5,0.5202,112.3,243.1,6.11,-0.05,0.7086,1
0.972,0.972,0.9538,1,0.5625,107.3,107.3,7.53,0.2778,0.1854,1
0.8382,0.7788,0.8836,2,0.0123,114.6,150.2,2.02,-0.0054,0.1153,1
0.8404,0.7098,0.8104,3,0.0146,137.0,294.5,5.7,0.2167,0.304,0
0.816,0.7361,0.8124,5,0.0894,258.2,409.3,2.82,-0.0138,0.3983,0
0.839,0.8337,0.8145,2,0.0297,268.9,300.7,2.42,0.121,0.4824,0
0.8478,0.8478,0.8789,1,0.091,255.2,255.2,0.9,0.2764,0.5288,0
0.8438,0.7248,0.8339,5,0.246,93.5,228.9,2.8,0.3263,0.003,1
0.7869,0.6801,0.6964,4,0.1566,183.0,332.2,8.91,0.0764,0.0849,0
0.7368,0.7368,0.7618,1,0.052,187.0,187.0,1.56,0.1187,0.0411,0
0.8238,0.8238,0.9414,1,0.0557,222.3,222.3,7.55,-0.0387,0.2025,1
0.7843,0.4957,0.7125,3,0.2905,245.1,392.6,3.98,0.0119,0.5193,0
0.8521,0.7372,0.9431,5,0.1861,215.9,315.7,1.81,0.1154,0.4896,1
0.8505,0.8505,0.8903,1,0.0178,219.0,219.0,7.76,0.075,0.3754,1
0.9089,0.7571,0.8509,5,0.0805,129.2,147.4,4.54,0.0899,0.6177,0
0.8463,0.7468,0.86,3,0.0283,174.3,212.9,2.72,-0.1054,0.0752,0
0.9119,0.9025,1.0,2,0.0205,230.3,284.6,2.75,0.1875,0.0393,1
0.886,0.886,0.8633,1,0.022,310.5,310.5,5.3,0.1652,0.0399,0
0.8771,0.8771,0.9104,1,0.094,289.2,289.2,7.5,-0.224,0.5825,1
0.8555,0.742,0.8946,5,0.1561,76.6,220.7,10.99,0.2713,0.2843,0
0.8424,0.7703,0.8025,5,0.0204,195.9,236.9,2.68,0.3991,0.706,0
0.7214,0.6637,0.7792,2,0.2376,128.1,204.6,5.71,-0.0344,0.2159,1
0.6145,0.4988,0.6483,2,0.0726,247.0,374.4,1.54,-0.0448,0.4818,0
0.8822,0.7835,0.8901,4,0.0436,148.8,203.4,0.4,0.1452,0.1782,0
0.8869,0.7737,1.0,3,0.1633,256.9,409.5,1.38,0.0887,0.4984,0
0.8254,0.6509,0.7764,4,0.1298,86.8,136.5,1.1,0.2076,0.038,0
0.8045,0.6012,0.7607,4,0.2955,140.6,213.2,3.54,-0.0081,0.1545,0
0.8275,0.7153,0.8955,5,0.1434,84.4,93.5,6.02,0.0203,0.2876,0
0.8664,0.763,0.9115,5,0.276,315.2,378.5,2.77,0.263,0.1505,0
0.8412,0.7205,0.8089,3,0.0952,31.8,94.5,1.96,0.103,0.7871,0
0.8249,0.6978,0.79,4,0.1665,191.5,216.9,1.27,0.05,0.4052,1
0.833,0.6652,0.8634,5,0.0514,224.2,378.4,1.89,0.061,0.6054,0
0.7744,0.6173,0.711,2,0.1985,139.8,155.4,5.23,0.4571,0.4191,0
0.8746,0.8487,0.8156,2,0.1506,157.8,331.0,0.68,0.2419,0.0228,0
0.8966,0.808,0.9131,4,0.24,95.2,200.0,4.69,0.1781,0.1604,1
0.6865,0.6865,0.6339,1,0.1066,258.5,258.5,3.11,0.1698,0.3886,0
0.7966,0.7081,0.836,5,0.1998,36.9,181.4,3.67,0.0949,0.4071,0
0.8339,0.7304,0.8774,2,0.0272,232.0,235.3,0.4,-0.0076,0.2655,0
0.8623,0.7722,0.8885,4,0.6768,182.8,196.9,5.84,-0.0559,0.3565,1
0.8696,0.7443,0.8752,4,0.1991,316.1,343.2,0.52,0.0109,0.1161,0
0.7618,0.7618,0.7446,1,0.0275,285.0,285.0,1.79,0.0917,0.125,0
0.8722,0.8134,0.7906,5,0.0524,302.4,306.4,5.63,0.167,0.4588,1
0.863,0.8412,0.8725,2,0.3429,42.7,118.9,4.15,0.0252,0.5932,1
0.8061,0.7561,0.8238,3,0.0162,121.4,250.4,1.61,0.0007,0.4249,1
0.8329,0.7297,0.8143,3,0.1156,202.0,204.5,4.3,0.0789,0.0582,1
0.7689,0.7549,0.7408,3,0.0797,251.1,388.7,4.58,0.2183,0.2107,1
0.8073,0.6585,0.8406,5,0.0472,142.4,188.7,2.93,0.3848,0.1038,0
0.8061,0.5003,0.7553,5,0.9248,287.9,321.4,3.77,0.2013,0.1019,0
0.874,0.802,0.8139,4,0.33,282.3,306.8,2.08,0.1859,0.6491,1
0.8204,0.7038,0.8212,5,0.0257,169.8,300.1,0.77,0.0278,0.5262,0
0.9281,0.8908,0.9576,4,0.0061,237.2,245.0,2.87,-0.0044,0.8098,1
0.7041,0.6612,0.7327,2,0.1807,68.2,205.8,3.99,0.1958,0.9757,1
0.7251,0.7251,0.7417,1,0.2196,225.4,225.4,4.79,0.2365,0.0167,1
0.8447,0.7869,0.8943,3,0.001,160.7,320.2,4.21,0.0854,0.4333,1
0.7877,0.7628,0.8384,4,0.3503,245.6,310.3,2.59,0.0036,0.1233,0
0.7557,0.6478,0.85,2,0.2573,312.3,387.3,4.16,0.2976,0.6963,1
0.8901,0.8901,0.9204,1,0.1768,207.6,207.6,2.8,0.2148,0.0242,1
0.8882,0.8882,0.9306,1,0.236,179.5,179.5,1.44,0.067,0.189,0
0.7436,0.7436,0.6448,1,0.0551,175.9,175.9,0.22,0.0119,0.8447,0
0.7453,0.4765,0.7308,4,0.128,48.8,158.4,1.31,0.2395,0.2002,0
0.9159,0.8033,0.8371,4,0.1004,84.1,182.9,1.59,0.2787,0.527,0
0.8522,0.7478,0.8065,5,0.057,167.3,283.2,0.3,0.2678,0.2774,0
0.8483,0.8004,0.8355,4,0.1381,38.4,73.4,2.84,0.2499,0.1334,0
0.7319,0.5528,0.7619,4,0.1597,285.4,432.9,0.35,0.0744,0.0027,0
0.8917,0.7985,1.0,2,0.0032,166.5,326.2,2.83,0.0221,0.0489,0
0.7508,0.5543,0.7455,5,0.1295,90.0,178.5,1.3,0.2193,0.0344,0
0.8431,0.6931,0.9311,3,0.107,92.8,184.8,1.31,0.1206,0.429,1
0.9176,0.9037,1.0,3,0.0989,91.1,116.3,6.77,0.1175,0.304,1
0.9254,0.8904,0.886,2,0.0386,116.9,165.9,4.18,0.1639,0.8865,1
0.9027,0.8882,0.7881,2,0.372,39.6,198.4,2.26,0.2345,0.345,1
0.8594,0.8435,0.8509,3,0.0889,94.2,118.6,5.88,0.1411,0.5369,1
0.5318,0.5264,0.5302,2,0.0386,222.2,360.9,12.23,0.0176,0.794,0
0.8214,0.7358,0.8748,4,0.1462,262.8,395.4,8.69,0.2124,0.5495,1
0.9556,0.9556,0.895,1,0.0171,78.9,78.9,4.22,0.1662,0.3253,1
0.8341,0.6902,0.7752,3,0.8467,26.0,137.9,0.45,-0.0451,0.2085,1
0.7945,0.7266,0.7326,2,0.0015,314.3,425.5,1.4,0.2365,0.1076,0
0.7929,0.6912,0.8787,3,0.1741,25.5,153.1,7.92,0.1351,0.4977,1
0.8805,0.7748,0.949,5,0.5884,61.8,201.6,3.31,0.0801,0.1368,0
0.6873,0.6873,0.6355,1,0.0634,101.5,101.5,0.85,0.0555,0.1142,0
0.7193,0.45,0.7732,4,0.049,186.7,271.8,2.36,0.2244,0.6823,0
0.6136,0.6136,0.6151,1,0.1993,286.2,286.2,3.51,0.1707,0.6842,0
0.9907,0.9907,1.0,1,0.0438,96.4,96.4,9.6,0.1167,0.3593,0
0.8402,0.8402,0.8383,1,0.2438,248.2,248.2,3.74,-0.0413,0.1978,0
0.805,0.6176,0.9449,4,0.0275,20.0,193.5,4.76,-0.0657,0.6608,0
0.9453,0.9404,0.968,2,0.2345,294.4,447.4,1.03,0.1682,0.1377,1
0.7227,0.6176,0.7311,2,0.2702,231.9,350.1,6.67,0.0132,0.2352,0
0.8888,0.8082,0.8381,5,0.0507,210.0,342.4,5.01,0.0171,0.5391,1
0.9096,0.867,0.9678,2,0.2033,225.6,243.0,1.58,-0.0161,0.7511,0
0.8292,0.7485,0.8492,4,0.2231,184.3,201.2,3.55,0.1149,0.3313,1
0.8836,0.856,0.8722,2,0.2822,123.2,125.6,3.58,0.1647,0.2462,1
0.8555,0.6519,0.9141,5,0.0402,159.1,334.0,5.3,0.1953,0.6887,0
0.8538,0.621,0.8194,4,0.1589,177.7,236.0,4.03,0.1776,0.4662,0
0.7344,0.7344,0.8069,1,0.3058,163.5,163.5,7.32,-0.0794,0.025,1
0.8651,0.8111,0.9319,3,0.0217,109.9,112.2,4.18,0.0187,0.0485,1
0.783,0.5515,0.8067,3,0.1434,168.4,289.4,1.53,0.0809,0.6676,0
0.7667,0.7476,0.8272,2,0.1636,111.0,170.4,1.26,0.1533,0.2654,1
0.8068,0.7656,0.7463,2,0.2213,303.1,382.2,2.62,0.2505,0.6095,1
0.7973,0.7335,0.6842,3,0.514,55.9,147.9,2.48,-0.0095,0.0183,0
0.8571,0.7498,0.9327,3,0.0684,115.3,173.3,2.87,0.1459,0.2644,1
0.8336,0.7721,0.8711,2,0.313,301.0,463.4,3.51,0.3454,0.1221,0
0.9772,0.9772,0.9144,1,0.1083,139.9,139.9,1.41,-0.103,0.1215,1
0.8427,0.6511,0.8496,4,0.1592,141.3,244.0,3.0,0.2477,0.0822,0
0.7195,0.6184,0.7223,3,0.0296,146.9,166.4,2.32,0.2374,0.4648,0
0.8423,0.6945,0.8789,5,0.6145,171.9,299.9,3.03,0.2267,0.3718,0
0.8061,0.6527,0.8663,2,0.0061,248.6,391.1,2.49,0.1963,0.0291,0
0.8037,0.7798,0.8305,2,0.0343,167.9,207.5,1.66,0.0825,0.0132,0
0.9222,0.8733,0.9433,3,0.3962,220.1,335.8,1.78,0.2459,0.2216,0
0.8976,0.7933,0.9487,4,0.0186,40.3,68.8,2.83,-0.1078,0.2912,1
0.8645,0.8272,0.8615,2,0.031,189.3,239.4,2.24,0.0687,0.0834,1
0.6956,0.6246,0.7343,2,0.0834,29.5,33.9,0.49,0.263,0.1757,0
0.6794,0.5169,0.6405,5,0.1105,189.9,294.2,2.21,0.1262,0.4575,0
0.8022,0.64,0.8338,4,0.0575,316.4,375.2,9.71,0.1933,0.2245,0
0.8172,0.5093,0.8142,4,0.087,227.9,267.8,4.28,0.0986,0.4781,0
0.8557,0.7472,1.0,5,0.127,206.5,303.4,2.04,0.0392,0.2999,0
0.865,0.7223,0.8563,3,0.3109,230.2,272.7,2.12,0.1564,0.2662,0
0.8619,0.7519,0.9714,4,0.0004,305.6,309.2,2.06,0.075,0.4856,0
0.8918,0.8204,0.9854,5,0.1526,159.7,315.5,2.85,0.0805,0.2119,1
0.8522,0.7467,0.8877,5,0.1466,200.5,232.5,3.19,-0.0179,0.2459,0
0.9051,0.8417,0.9229,4,0.652,75.1,88.8,6.58,0.1267,0.1214,1
0.8755,0.7082,0.7857,4,0.2925,88.5,185.4,0.93,0.0907,0.201,0
0.8407,0.7494,0.8645,3,0.0125,291.1,383.0,7.53,0.0835,0.0632,0
0.7358,0.7358,0.8788,1,0.1017,88.7,88.7,3.04,0.0288,0.6629,0
0.9204,0.9204,0.8577,1,0.0254,193.8,193.8,0.71,0.1482,0.5887,0
0.8895,0.8557,0.822,2,0.1671,237.4,293.2,3.65,0.0834,0.2302,0
0.7784,0.6466,0.7937,3,0.13,237.0,401.8,2.75,0.2361,0.2029,0
0.8512,0.7581,0.7646,5,0.0964,257.7,328.0,1.91,0.1273,0.4243,0
0.8342,0.8342,0.8489,1,0.0058,152.5,152.5,1.81,0.1698,0.1356,1
0.7529,0.6665,0.7307,3,0.2367,53.9,179.7,0.59,0.2106,0.8184,1
0.8068,0.6427,0.8403,3,0.0028,151.9,188.3,1.54,0.2552,0.643,1
0.765,0.59,0.7044,4,0.0528,132.2,288.5,2.55,0.0743,0.5743,0
0.8474,0.7751,0.8794,3,0.8946,285.7,336.7,1.13,0.1087,0.3172,0
0.8783,0.6781,0.9129,5,0.0202,194.9,340.6,3.65,-0.1249,0.7875,0
0.7686,0.7322,0.7606,2,0.0878,15.9,127.5,6.49,0.3263,0.1583,1
0.7146,0.6595,0.657,2,0.1651,271.3,283.9,3.46,0.1106,0.6006,0
0.8379,0.5709,0.7977,5,0.0245,146.7,197.9,6.3,-0.0325,0.032,0
0.8917,0.8367,0.8398,4,0.0413,245.7,274.0,2.45,0.3213,0.1471,0
0.7147,0.5876,0.7515,3,0.1326,202.1,243.3,1.68,-0.0595,0.3961,0
0.7647,0.6673,0.7738,2,0.037,282.8,446.9,0.38,0.1103,0.157,0
0.8344,0.5735,0.8926,4,0.3178,100.0,216.6,4.9,0.0492,0.0479,0
0.8628,0.7615,0.8074,4,0.113,250.0,253.4,2.08,-0.032,0.4008,0
0.839,0.839,0.9247,1,0.0322,146.5,146.5,1.63,0.016,0.4963,0
0.9574,0.9403,0.8678,2,0.0792,42.5,162.4,3.89,0.2217,0.4535,1
0.861,0.7128,0.8265,4,0.004,216.5,352.4,6.05,0.2383,0.4719,0
0.8122,0.6531,0.9177,5,0.1945,70.5,130.1,3.75,0.0626,0.1058,1
0.9675,0.9675,1.0,1,0.0332,56.5,56.5,6.72,0.131,0.5315,1
0.8558,0.6942,0.9193,5,0.1513,156.4,308.4,4.4,-0.2033,0.7042,1
0.8227,0.679,0.8043,2,0.0355,108.5,114.8,2.52,0.1342,0.2733,0
0.8068,0.7507,0.7044,4,0.0871,55.8,109.3,7.8,0.0849,0.5279,1
0.8994,0.7811,0.9035,5,0.0678,83.8,224.1,1.96,0.0362,0.2885,1
0.8736,0.8333,0.8711,2,0.9404,169.7,248.6,3.37,0.0066,0.5919,1
0.9433,0.9433,0.9217,1,0.1464,109.1,109.1,6.84,0.3423,0.1431,1
0.8622,0.7035,0.8197,3,0.2377,237.6,311.1,1.87,0.1552,0.3749,0
0.8226,0.8226,0.7139,1,0.0902,217.8,217.8,4.43,0.0782,0.1021,0
0.569,0.569,0.5475,1,0.0008,52.5,52.5,1.41,0.0772,0.4056,0
0.5538,0.5538,0.5305,1,0.0168,41.5,41.5,5.42,0.1143,0.2495,0
0.8658,0.7062,1.0,4,0.01,197.0,305.5,3.87,0.2472,0.0352,1
0.8234,0.7627,0.7705,5,0.2487,243.4,363.6,2.11,0.123,0.2794,0
0.9076,0.863,0.9181,2,0.1069,235.9,349.6,4.44,0.0635,0.2214,1
0.8773,0.7445,0.8172,3,0.105,86.9,88.5,5.31,0.1957,0.1741,0
0.78,0.5412,0.7858,4,0.222,229.6,293.6,1.06,0.0667,0.4147,0
0.8263,0.7678,0.8598,2,0.033,236.5,272.0,1.48,0.1938,0.6392,0
0.8183,0.5879,0.8352,4,0.0101,61.0,117.9,3.41,-0.0498,0.482,0
0.7808,0.545,0.731,5,0.0727,315.2,355.4,10.16,-0.135,0.5557,0
0.81,0.7471,0.8437,3,0.4531,186.8,239.8,3.44,0.3481,0.0356,0
0.8777,0.8487,0.8806,2,0.2455,108.6,186.3,1.71,0.1482,0.0246,1
0.9757,0.9757,0.9757,1,0.0014,27.2,27.2,1.37,-0.0229,0.3268,1
0.6935,0.6935,0.5803,1,0.0938,81.3,81.3,6.64,0.2417,0.0743,0
0.7815,0.5502,0.7186,5,0.0115,279.2,283.3,2.39,-0.1343,0.3131,0
0.8408,0.8408,0.845,1,0.0626,66.9,66.9,1.31,0.132,0.1291,1
0.7593,0.6589,0.7437,5,0.1499,138.5,266.8,3.01,0.3176,0.4611,0
0.8168,0.7806,0.6446,5,0.0203,115.0,271.6,3.24,0.0287,0.1386,0
0.976,0.9591,0.8871,2,0.009,254.4,354.3,1.7,-0.0119,0.4001,0
0.7925,0.7322,0.7889,2,0.0856,100.9,177.5,2.98,-0.0054,0.2736,1
0.9126,0.8255,0.8697,5,0.0068,280.0,384.8,4.5,-0.1173,0.4219,0
0.8594,0.7763,0.9103,3,0.3577,254.1,403.2,5.94,0.5,0.6842,1
0.9037,0.828,0.9482,4,0.1945,110.2,168.8,1.83,0.0407,0.0226,0
0.8914,0.7722,1.0,3,0.0739,164.3,305.7,2.9,0.1677,0.0794,1
0.9473,0.9358,0.9366,2,0.0502,262.6,410.0,6.94,0.1504,0.5724,1
0.8828,0.8828,0.9061,1,0.0621,73.5,73.5,8.4,-0.0072,0.4186,1
0.8109,0.6194,0.7612,3,0.0001,121.9,187.8,2.86,0.1039,0.0711,0
0.8913,0.8307,0.983,5,0.0359,314.2,345.9,1.38,0.3125,0.0742,0
0.794,0.7541,0.7943,2,0.0034,127.7,127.9,1.19,0.2133,0.4216,0
0.8717,0.7971,0.9328,4,0.9176,62.6,97.6,2.82,0.178,0.207,0
0.8264,0.7182,0.8168,4,0.0864,208.2,373.0,4.18,0.2972,0.4305,0
0.8438,0.7619,0.9583,3,0.0283,150.1,206.2,2.46,0.0951,0.1474,1
0.8418,0.788,0.866,3,0.0861,204.9,245.9,0.73,0.0711,0.1003,0
0.768,0.7419,0.7658,2,0.084,227.3,273.6,3.37,-0.0186,0.0835,0
0.8961,0.8293,0.8358,2,0.0366,19.6,32.2,1.81,0.1397,0.4544,1
0.9834,0.9834,1.0,1,0.0336,34.3,34.3,2.72,0.2237,0.1589,1
0.8201,0.697,0.787,2,0.049,34.6,47.0,2.6,0.1279,0.2783,1
0.8361,0.7717,0.8642,3,0.0385,70.9,242.6,7.41,0.0731,0.2673,1
0.8275,0.7279,0.8952,5,0.0777,279.1,323.0,0.68,0.1672,0.0319,0
0.8223,0.8223,0.8369,1,0.3195,141.2,141.2,5.76,0.1581,0.1948,1
0.8926,0.8926,0.7938,1,0.1878,257.1,257.1,5.26,0.3474,0.3724,1
0.7863,0.6729,0.7696,3,0.0304,75.5,143.4,1.3,0.2415,0.5434,1
0.8531,0.73,0.8622,2,0.0456,92.0,200.3,3.33,-0.0853,0.3997,1
0.8735,0.7616,0.9414,2,0.173,110.0,150.3,5.32,-0.0601,0.1145,1
0.8791,0.8791,0.8678,1,0.052,50.6,50.6,11.97,0.0485,0.649,1
0.8344,0.7981,0.8447,2,0.046,258.4,398.3,0.73,0.0579,0.2174,0
0.8741,0.7426,0.8404,5,0.1992,127.4,244.7,4.42,0.2125,0.2394,1
0.7308,0.5748,0.6821,3,0.3517,318.6,493.0,1.6,-0.0512,0.1733,0
0.7391,0.6912,0.8114,4,0.1221,51.3,153.7,4.17,-0.0779,0.1825,0
0.8374,0.6566,0.9573,5,0.6062,101.8,141.4,4.04,0.1262,0.3033,1
0.8129,0.7048,0.7983,4,0.0755,280.4,368.0,0.99,0.1076,0.4621,0
0.9551,0.9551,1.0,1,0.006,189.7,189.7,0.5,0.1996,0.0339,1
0.7853,0.6197,0.8997,3,0.12,40.9,109.8,3.26,0.1725,0.343,1
0.9375,0.9142,0.7888,2,0.1684,210.6,341.1,3.4,-0.1349,0.5532,1
0.8462,0.8462,0.8597,1,0.5023,114.5,114.5,4.52,0.1854,0.112,1
0.8703,0.7905,0.7901,3,0.0222,134.6,211.7,5.27,0.1616,0.5605,1
0.9018,0.7983,0.9516,3,0.0454,255.4,282.2,2.78,0.1945,0.644,1
0.8693,0.7417,0.7869,5,0.0923,219.0,369.8,1.72,-0.0347,0.1738,0
0.8204,0.8204,0.7779,1,0.3202,123.9,123.9,3.71,0.0885,0.8273,1
0.7696,0.6137,0.7942,4,0.1983,96.9,167.0,5.39,0.2083,0.1469,0
0.8443,0.8443,0.8134,1,0.1328,309.4,309.4,6.78,0.0841,0.3333,0
0.9028,0.9028,0.92,1,0.5017,169.3,169.3,2.06,0.1856,0.4558,1
0.873,0.8319,0.8751,2,0.6505,242.6,310.8,5.24,0.0743,0.4754,1
0.9419,0.9185,1.0,3,0.0861,210.0,303.6,2.85,0.2893,0.2016,0
0.7881,0.6882,0.8424,2,0.2824,281.0,399.5,3.03,0.1229,0.1452,1
0.8298,0.6923,0.9034,3,0.4285,308.5,346.1,2.03,0.1489,0.1417,1
0.8712,0.7361,0.7495,4,0.5126,197.7,267.7,2.73,0.3174,0.416,0
0.8308,0.6332,0.8903,5,0.1013,239.5,411.2,0.55,0.2718,0.0217,0
0.675,0.6516,0.6598,2,0.1618,216.0,219.7,12.83,0.0678,0.3094,0
0.8084,0.6964,0.8458,2,0.0133,194.6,298.1,3.83,0.197,0.4429,0
0.8686,0.8419,0.8083,3,0.0082,151.8,182.7,10.43,0.1352,0.4778,1
0.7341,0.6432,0.8042,4,0.0156,303.0,381.9,6.04,0.1229,0.0308,0
0.7459,0.5261,0.8275,2,0.0415,161.1,207.4,2.91,-0.2007,0.1758,0
0.7927,0.678,0.8805,5,0.1224,96.4,242.0,3.77,0.0403,0.3869,0
0.8292,0.7599,0.7895,5,0.479,316.7,437.2,1.92,0.1166,0.0783,0
0.8576,0.7337,0.8185,4,0.0557,216.5,376.3,0.44,-0.0177,0.1036,0
0.8459,0.6927,0.8867,5,0.4502,110.0,223.4,2.92,-0.2201,0.2214,0
0.9327,0.8851,0.9057,2,0.0571,257.8,275.5,1.28,-0.0291,0.0672,1
0.9355,0.9081,0.9526,3,0.3468,285.0,359.4,8.54,0.2657,0.1914,1
0.864,0.8294,0.9015,2,0.2361,123.2,253.4,2.86,0.322,0.431,1
0.736,0.6675,0.7088,3,0.128,130.8,290.1,2.34,0.2098,0.4939,0
0.8486,0.8486,0.7489,1,0.4097,164.4,164.4,4.01,0.0716,0.6279,1
0.7919,0.7919,0.7667,1,0.0321,209.0,209.0,1.41,0.1818,0.025,1
0.8195,0.5215,0.7543,4,0.1465,28.2,145.0,5.58,0.3282,0.12,1
0.7795,0.639,0.7107,2,0.1703,95.6,205.2,2.89,0.2546,0.1326,0
0.8534,0.7669,0.7713,3,0.3465,218.3,351.5,4.29,0.0832,0.5091,1
0.8256,0.8256,0.7984,1,0.4138,88.7,88.7,7.8,0.0735,0.2782,1
0.9428,0.8756,0.9874,5,0.1138,44.2,145.9,3.13,0.0782,0.1997,1
0.7977,0.7706,0.8187,2,0.0366,206.9,314.5,3.56,0.0552,0.3855,0
0.7801,0.7801,0.6267,1,0.8015,197.6,197.6,2.5,0.2304,0.0795,1
0.8218,0.681,0.9561,5,0.0904,205.9,224.4,7.8,0.0853,0.3793,0
0.9102,0.9102,0.9558,1,0.0434,146.0,146.0,2.99,-0.0847,0.2989,1
0.904,0.8566,0.8984,2,0.0546,107.6,203.0,1.05,-0.0552,0.1476,0
0.804,0.7955,0.7062,2,0.1071,249.6,371.3,2.32,0.2885,0.0252,0
0.8812,0.7586,0.8476,4,0.1401,17.1,189.1,9.63,0.2859,0.2293,1
0.7498,0.621,0.6753,3,0.2732,118.5,256.0,7.31,0.0854,0.1902,0
0.8024,0.7268,0.7397,4,0.0004,50.2,225.4,1.43,0.0951,0.3949,0
0.8348,0.6826,0.8652,5,0.1128,205.1,297.7,2.18,-0.0256,0.2681,0
0.7333,0.6865,0.7932,2,0.0073,316.5,371.1,9.67,-0.0967,0.4397,0
0.8304,0.8304,0.8253,1,0.0969,255.0,255.0,5.62,0.1259,0.4514,1
0.8257,0.753,0.7876,2,0.1759,206.8,371.1,0.61,0.0544,0.6345,0
0.8256,0.7993,0.8606,2,0.0013,72.1,138.4,3.41,0.1062,0.4,0
0.7692,0.4943,0.7357,4,0.5585,311.1,393.6,5.23,0.2291,0.1135,0
0.7864,0.672,0.7947,2,0.0654,55.3,217.6,2.17,0.1226,0.4379,0
0.8872,0.8745,0.8608,3,0.4267,288.6,436.8,1.83,0.0112,0.3318,0
0.8808,0.8166,0.7921,5,0.38,289.0,359.1,3.27,0.1121,0.5742,0
0.8738,0.7803,0.8564,3,0.0203,75.3,126.2,0.24,0.176,0.034,0
0.768,0.7231,0.8014,3,0.0538,210.9,277.4,1.85,0.3435,0.3025,0
0.8234,0.481,0.93,4,0.0589,133.1,227.0,1.48,0.093,0.2326,0
0.898,0.898,0.7891,1,0.0125,289.2,289.2,1.48,0.1223,0.3376,1
0.7717,0.5893,0.8735,4,0.1209,65.9,100.0,1.02,0.0964,0.7061,0
0.8167,0.6714,0.8214,4,0.2726,106.0,145.8,4.64,0.1927,0.0591,1
0.781,0.781,0.7334,1,0.0289,291.4,291.4,6.06,0.2036,0.3556,0
